City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Buala,SB,-8.145,159.5921,79.65,81,97,2.91,overcast clouds
1,Cape Town,ZA,-33.9258,18.4232,58.08,44,40,17.27,scattered clouds
2,Bambanglipuro,ID,-7.95,110.2833,76.42,79,86,4.83,overcast clouds
3,Tecoanapa,MX,16.5167,-98.75,86.81,65,36,3.27,scattered clouds
4,Ushuaia,AR,-54.8,-68.3,44.22,56,75,6.91,broken clouds
5,Xuanhua,CN,40.6103,115.0447,59.52,94,83,4.79,broken clouds
6,Visby,SE,57.6409,18.296,55.85,82,40,14.97,scattered clouds
7,Basco,PH,20.4487,121.9702,83.48,70,48,21.63,light rain
8,Maniitsoq,GL,65.4167,-52.9,39.83,76,71,10.0,broken clouds
9,New Norfolk,AU,-42.7826,147.0587,54.9,75,100,1.01,overcast clouds
10,San-Pedro,CI,4.7485,-6.6363,79.48,80,71,9.26,broken clouds
11,Grand Gaube,MU,-20.0064,57.6608,73.8,71,3,8.99,clear sky
12,Albany,US,42.6001,-73.9662,71.67,69,93,8.16,overcast clouds
13,Longyearbyen,SJ,78.2186,15.6401,36.54,95,100,2.86,overcast clouds
14,Mataura,NZ,-46.1927,168.8643,49.48,89,100,1.19,overcast clouds
15,Mahebourg,MU,-20.4081,57.7,73.69,78,75,17.27,broken clouds
16,Mar Del Plata,AR,-38.0023,-57.5575,66.0,50,0,15.01,light rain
17,Sarakhs,IR,36.5449,61.1577,64.54,29,0,4.61,clear sky
18,Saint-Philippe,RE,-21.3585,55.7679,72.95,81,38,12.8,scattered clouds
19,Rikitea,PF,-23.1203,-134.9692,72.43,73,3,21.72,light rain
20,Yellowknife,CA,62.456,-114.3525,46.92,91,75,13.8,broken clouds
21,Bella Union,UY,-30.2752,-57.6007,76.21,60,86,9.64,overcast clouds
22,Yumen,CN,40.2833,97.2,47.95,35,38,16.6,scattered clouds
23,Gazimurskiy Zavod,RU,51.5461,118.3266,27.37,83,87,3.76,overcast clouds
24,Butaritari,KI,3.0707,172.7902,82.49,70,99,22.21,overcast clouds
25,Busselton,AU,-33.65,115.3333,51.08,56,93,20.94,overcast clouds
26,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,93,90,6.91,overcast clouds
27,Egvekinot,RU,66.3167,-179.1667,6.26,88,7,1.9,clear sky
28,Kargasok,RU,59.0556,80.8572,30.78,95,98,4.83,overcast clouds
29,Ribeira Grande,PT,38.5167,-28.7,75.6,83,75,16.11,broken clouds
30,Ilulissat,GL,69.2167,-51.1,33.82,75,20,3.44,few clouds
31,Quatre Cocos,MU,-20.2078,57.7625,73.51,78,12,13.6,few clouds
32,Hermanus,ZA,-34.4187,19.2345,56.89,59,59,6.35,broken clouds
33,Barrow,US,71.2906,-156.7887,28.42,74,90,20.71,overcast clouds
34,Vaini,TO,-21.2,-175.2,71.76,94,75,11.5,broken clouds
35,Punta Arenas,CL,-53.15,-70.9167,44.71,70,75,21.85,broken clouds
36,Hirara,JP,24.8,125.2833,81.34,69,8,14.88,clear sky
37,Broken Hill,AU,-31.95,141.4333,62.31,48,100,10.36,overcast clouds
38,Georgetown,MY,5.4112,100.3354,80.89,86,20,0.0,few clouds
39,Victoria,HK,22.2855,114.1577,86.32,79,16,1.01,few clouds
40,Hilo,US,19.7297,-155.09,72.81,90,90,5.75,light rain
41,Kaitangata,NZ,-46.2817,169.8464,46.27,92,100,4.68,overcast clouds
42,Jacobina,BR,-11.1806,-40.5183,91.62,24,0,9.8,clear sky
43,Saskylakh,RU,71.9167,114.0833,18.97,97,100,3.18,overcast clouds
44,Mount Gambier,AU,-37.8333,140.7667,53.51,100,90,11.5,overcast clouds
45,Batticaloa,LK,7.7102,81.6924,80.55,80,66,6.15,broken clouds
46,Mangan,IN,27.5167,88.5333,70.81,84,43,5.06,scattered clouds
47,Gambela,ET,8.25,34.5833,70.36,97,100,2.46,overcast clouds
48,Upernavik,GL,72.7868,-56.1549,30.76,84,41,4.34,scattered clouds
49,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,78,40,14.97,scattered clouds
50,Bethel,US,41.3712,-73.414,72.77,65,1,3.0,clear sky
51,Port Hardy,CA,50.6996,-127.4199,50.0,100,90,4.61,moderate rain
52,Sambava,MG,-14.2667,50.1667,72.66,82,10,11.16,clear sky
53,Nicoya,CR,10.1483,-85.452,89.15,67,39,4.47,scattered clouds
54,Faanui,PF,-16.4833,-151.75,79.29,68,25,18.48,scattered clouds
55,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,61,0,6.91,clear sky
56,Marsa Matruh,EG,31.3525,27.2453,75.4,57,40,11.5,scattered clouds
57,Tobol,KZ,52.6844,62.5794,45.7,84,100,6.17,overcast clouds
58,Maceio,BR,-9.6658,-35.7353,87.24,70,75,9.22,broken clouds
59,Jamestown,US,42.097,-79.2353,72.01,56,1,7.0,clear sky
60,Qaanaaq,GL,77.484,-69.3632,26.82,83,100,13.2,overcast clouds
61,Kahului,US,20.8947,-156.47,77.85,84,20,10.36,few clouds
62,Castro,BR,-24.7911,-50.0119,71.6,71,100,1.16,overcast clouds
63,Kachiry,KZ,53.0675,76.1036,36.59,72,100,8.75,overcast clouds
64,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,80.62,74,17,10.04,few clouds
65,Goulburn,AU,-34.75,149.7167,44.65,98,38,11.07,scattered clouds
66,Giaveno,IT,45.047,7.3492,66.72,73,98,1.12,overcast clouds
67,Saint George,US,37.1041,-113.5841,77.34,30,1,1.01,clear sky
68,Dingle,PH,10.9995,122.6711,76.84,90,98,2.13,overcast clouds
69,Nikolskoye,RU,59.7035,30.7861,51.69,87,78,5.19,broken clouds
70,Dikson,RU,73.5069,80.5464,33.93,87,100,14.45,light rain
71,Port Hawkesbury,CA,45.6169,-61.3485,60.87,75,90,4.0,overcast clouds
72,Puerto Ayora,EC,-0.7393,-90.3518,71.98,81,91,10.04,overcast clouds
73,Ponta Do Sol,PT,32.6667,-17.1,78.71,75,0,2.21,clear sky
74,Mamallapuram,IN,12.6264,80.1722,84.25,81,70,10.58,broken clouds
75,Bluff,NZ,-46.6,168.3333,49.8,85,100,8.59,overcast clouds
76,Hithadhoo,MV,-0.6,73.0833,82.96,74,40,9.44,scattered clouds
77,Gizo,SB,-8.103,156.8419,82.15,74,100,3.4,overcast clouds
78,Camacha,PT,33.0833,-16.3333,72.36,64,40,11.5,scattered clouds
79,Sorland,NO,67.667,12.6934,49.89,79,100,2.37,overcast clouds
80,Aksha,RU,50.2814,113.2867,34.38,92,99,4.74,overcast clouds
81,Pahrump,US,36.2083,-115.9839,77.59,13,0,2.93,clear sky
82,Kitimat,CA,54.0524,-128.6534,44.98,100,100,3.89,light rain
83,Port Elizabeth,ZA,-33.918,25.5701,54.1,82,40,23.02,scattered clouds
84,Amapa,BR,1.0,-52.0,98.01,30,28,3.96,scattered clouds
