City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2021-09-29 01:32:42,-23.1203,-134.9692,296.24,65,100,7.08
1,Esperance,AU,2021-09-29 01:32:42,-33.8667,121.9,288.06,62,89,4.03
2,Saraipali,IN,2021-09-29 01:32:42,21.3333,83.0,298.51,88,93,0.57
3,Sistranda,NO,2021-09-29 01:32:43,63.7256,8.834,286.43,83,99,4.42
4,Albany,US,2021-09-29 01:28:21,42.6001,-73.9662,286.73,74,100,4.02
5,Krasnoselkup,RU,2021-09-29 01:32:43,65.7,82.4667,273.51,72,45,1.96
6,Thompson,CA,2021-09-29 01:32:43,55.7435,-97.8558,287.24,58,40,3.09
7,Ilulissat,GL,2021-09-29 01:28:59,69.2167,-51.1,270.16,39,41,4.63
8,Faanui,PF,2021-09-29 01:32:44,-16.4833,-151.75,299.13,75,19,6.49
9,Kodiak,US,2021-09-29 01:32:44,57.79,-152.4072,283.88,62,75,3.09
10,Busselton,AU,2021-09-29 01:32:44,-33.65,115.3333,289.84,75,89,7.04
11,Guia De Isora,ES,2021-09-29 01:32:45,28.2115,-16.7795,293.0,73,5,5.81
12,Russkaya Polyana,UA,2021-09-29 01:32:45,49.417,31.9201,280.39,91,8,3.93
13,Ushuaia,AR,2021-09-29 01:32:12,-54.8,-68.3,279.96,53,75,9.77
14,Saskylakh,RU,2021-09-29 01:32:46,71.9167,114.0833,270.18,81,100,2.33
15,Hilo,US,2021-09-29 01:32:46,19.7297,-155.09,302.19,76,90,0.0
16,Butaritari,KI,2021-09-29 01:32:46,3.0707,172.7902,301.74,73,54,9.07
17,Mogadishu,SO,2021-09-29 01:32:47,2.0371,45.3438,298.36,91,98,5.34
18,Makat,KZ,2021-09-29 01:32:47,47.6469,53.3463,279.45,68,73,5.04
19,Puerto Madryn,AR,2021-09-29 01:32:47,-42.7692,-65.0385,288.46,30,0,4.46
20,Mount Gambier,AU,2021-09-29 01:32:47,-37.8333,140.7667,291.1,59,100,5.66
21,Coquimbo,CL,2021-09-29 01:31:16,-29.9533,-71.3436,285.0,100,0,1.03
22,Chuy,UY,2021-09-29 01:32:48,-33.6971,-53.4616,287.2,85,95,5.6
23,Sola,VU,2021-09-29 01:32:48,-13.8833,167.55,303.52,74,90,0.0
24,Bluff,NZ,2021-09-29 01:32:49,-46.6,168.3333,284.71,79,93,10.69
25,Gallup,US,2021-09-29 01:32:49,35.5281,-108.7426,289.57,72,75,5.14
26,Teguldet,RU,2021-09-29 01:32:49,57.3064,88.1667,274.98,83,15,2.97
27,San-Pedro,CI,2021-09-29 01:32:50,4.7485,-6.6363,297.14,94,87,1.72
28,Ouallam,NE,2021-09-29 01:32:50,14.3188,2.0866,303.97,37,6,4.08
29,Atuona,PF,2021-09-29 01:32:50,-9.8,-139.0333,298.75,73,6,8.74
30,Butterworth,MY,2021-09-29 01:32:51,5.3991,100.3638,298.2,95,40,0.89
31,Kapaa,US,2021-09-29 01:31:59,22.0752,-159.319,303.14,72,75,1.34
32,Sergiyev Posad,RU,2021-09-29 01:32:51,56.3,38.1333,275.01,91,54,2.09
33,Beloha,MG,2021-09-29 01:32:52,-25.1667,45.05,293.81,62,71,0.66
34,Hermanus,ZA,2021-09-29 01:32:32,-34.4187,19.2345,288.09,84,10,4.18
35,Ransang,PH,2021-09-29 01:32:52,8.9603,117.5828,303.28,66,29,1.69
36,Kapit,MY,2021-09-29 01:32:52,2.0167,112.9333,298.93,92,100,0.36
37,Padang,ID,2021-09-29 01:32:53,-0.9492,100.3543,298.18,88,99,2.72
38,Coahuayana,MX,2021-09-29 01:32:53,18.7333,-103.6833,298.93,86,100,0.54
39,Vaini,TO,2021-09-29 01:32:53,-21.2,-175.2,300.24,83,20,3.6
40,Ixtapa,MX,2021-09-29 01:32:54,20.7,-105.2,297.58,93,63,1.27
41,Bengkulu,ID,2021-09-29 01:32:54,-3.8004,102.2655,300.13,79,87,0.64
42,Saint-Philippe,RE,2021-09-29 01:32:54,-21.3585,55.7679,294.9,78,44,4.95
43,Upernavik,GL,2021-09-29 01:32:54,72.7868,-56.1549,269.63,52,15,1.64
44,Venice,US,2021-09-29 01:29:23,27.0998,-82.4543,300.36,66,1,2.06
45,Bahir Dar,ET,2021-09-29 01:32:55,11.5936,37.3908,287.02,85,34,1.57
46,Port-Gentil,GA,2021-09-29 01:32:55,-0.7193,8.7815,298.35,87,98,4.5
